DateTime,open,high,low,close,Volume,Date,Time
2022-10-27 09:52:00,10.0,10.3,9.75,10.05,261275,2022-10-27,09:52:00
2022-10-27 09:53:00,10.1,10.2,9.55,9.55,211700,2022-10-27,09:53:00
2022-10-27 09:54:00,9.5,10.0,9.4,9.85,113875,2022-10-27,09:54:00
2022-10-27 09:55:00,9.9,9.9,8.55,8.75,294475,2022-10-27,09:55:00
2022-10-27 09:56:00,8.9,8.95,7.45,8.0,341400,2022-10-27,09:56:00
2022-10-27 09:57:00,7.75,8.1,7.35,7.7,236550,2022-10-27,09:57:00
2022-10-27 09:58:00,7.7,7.95,7.45,7.8,273975,2022-10-27,09:58:00
2022-10-27 09:59:00,7.75,8.35,7.65,8.25,221525,2022-10-27,09:59:00
2022-10-27 10:00:00,8.15,8.15,7.4,7.9,257500,2022-10-27,10:00:00
2022-10-27 10:01:00,7.9,8.05,7.65,8.05,151300,2022-10-27,10:01:00
2022-10-27 10:02:00,8.0,8.0,7.3,7.4,167225,2022-10-27,10:02:00
2022-10-27 10:03:00,7.4,7.65,7.15,7.3,133225,2022-10-27,10:03:00
2022-10-27 10:04:00,7.35,7.35,6.2,6.5,359850,2022-10-27,10:04:00
2022-10-27 10:05:00,6.5,6.7,6.35,6.7,288125,2022-10-27,10:05:00
2022-10-27 10:06:00,6.6,7.0,6.55,6.65,196200,2022-10-27,10:06:00
2022-10-27 10:07:00,6.65,6.65,6.1,6.35,177525,2022-10-27,10:07:00
2022-10-27 10:08:00,6.2,6.5,6.05,6.3,151200,2022-10-27,10:08:00
2022-10-27 10:09:00,6.2,6.25,5.95,6.05,188950,2022-10-27,10:09:00
2022-10-27 10:10:00,5.95,6.4,5.9,6.35,168700,2022-10-27,10:10:00
2022-10-27 10:11:00,6.35,6.6,6.2,6.45,166300,2022-10-27,10:11:00
2022-10-27 10:12:00,6.45,6.45,6.15,6.3,159800,2022-10-27,10:12:00
2022-10-27 10:13:00,6.3,6.5,6.25,6.4,149825,2022-10-27,10:13:00
2022-10-27 10:14:00,6.45,6.8,6.45,6.55,181500,2022-10-27,10:14:00
2022-10-27 10:15:00,6.55,6.65,6.4,6.4,149725,2022-10-27,10:15:00
2022-10-27 10:16:00,6.35,6.65,6.15,6.65,155050,2022-10-27,10:16:00
2022-10-27 10:17:00,6.65,6.7,6.4,6.55,146625,2022-10-27,10:17:00
2022-10-27 10:18:00,6.6,7.15,6.55,7.0,220600,2022-10-27,10:18:00
2022-10-27 10:19:00,7.1,7.3,6.5,6.85,155150,2022-10-27,10:19:00
2022-10-27 10:20:00,6.8,7.05,6.65,6.65,104025,2022-10-27,10:20:00
2022-10-27 10:21:00,6.6,6.9,6.55,6.7,147600,2022-10-27,10:21:00
2022-10-27 10:22:00,6.75,6.8,6.4,6.45,123200,2022-10-27,10:22:00
2022-10-27 10:23:00,6.45,6.5,6.2,6.45,89725,2022-10-27,10:23:00
2022-10-27 10:24:00,6.45,6.65,6.45,6.6,94575,2022-10-27,10:24:00
2022-10-27 10:25:00,6.6,6.7,6.45,6.45,81525,2022-10-27,10:25:00
2022-10-27 10:26:00,6.45,6.5,6.3,6.4,123550,2022-10-27,10:26:00
2022-10-27 10:27:00,6.4,6.5,6.2,6.4,208950,2022-10-27,10:27:00
2022-10-27 10:28:00,6.35,6.4,6.0,6.15,130825,2022-10-27,10:28:00
2022-10-27 10:29:00,6.15,6.25,5.65,5.7,123550,2022-10-27,10:29:00
2022-10-27 10:30:00,5.65,5.8,5.2,5.4,209375,2022-10-27,10:30:00
2022-10-27 10:31:00,5.3,5.3,4.7,4.8,200400,2022-10-27,10:31:00
2022-10-27 10:32:00,4.8,4.9,4.55,4.7,208900,2022-10-27,10:32:00
2022-10-27 10:33:00,4.65,5.15,4.65,5.15,286375,2022-10-27,10:33:00
2022-10-27 10:34:00,5.15,5.3,5.1,5.3,147750,2022-10-27,10:34:00
2022-10-27 10:35:00,5.25,5.35,5.0,5.0,167350,2022-10-27,10:35:00
2022-10-27 10:36:00,5.0,5.1,4.75,4.8,214275,2022-10-27,10:36:00
2022-10-27 10:37:00,4.85,4.85,4.4,4.45,293975,2022-10-27,10:37:00
2022-10-27 10:38:00,4.5,4.75,4.45,4.75,148150,2022-10-27,10:38:00
2022-10-27 10:39:00,4.7,4.85,4.6,4.8,120800,2022-10-27,10:39:00
2022-10-27 10:40:00,4.8,4.95,4.75,4.9,125375,2022-10-27,10:40:00
2022-10-27 10:41:00,4.85,4.9,4.7,4.7,87200,2022-10-27,10:41:00
2022-10-27 10:42:00,4.75,4.75,4.6,4.75,102925,2022-10-27,10:42:00
2022-10-27 10:43:00,4.75,4.95,4.75,4.8,141350,2022-10-27,10:43:00
2022-10-27 10:44:00,4.75,4.85,4.65,4.75,73500,2022-10-27,10:44:00
2022-10-27 10:45:00,4.7,4.75,4.25,4.45,185875,2022-10-27,10:45:00
2022-10-27 10:46:00,4.5,4.6,4.45,4.55,259350,2022-10-27,10:46:00
2022-10-27 10:47:00,4.6,4.6,4.45,4.45,107275,2022-10-27,10:47:00
2022-10-27 10:48:00,4.45,4.5,4.25,4.35,115350,2022-10-27,10:48:00
2022-10-27 10:49:00,4.25,4.3,4.2,4.3,108075,2022-10-27,10:49:00
2022-10-27 10:50:00,4.35,4.4,4.25,4.3,71350,2022-10-27,10:50:00
2022-10-27 10:51:00,4.3,4.35,4.2,4.25,161950,2022-10-27,10:51:00
