Date,Time,Open,High,Low,Close,BuyPrice,SellPrice,Future Strike
2022-10-20,09:20:00,17424.85,17522.35,17417.4,17520.0,17423.3,17424.65,17500.0
2022-10-20,09:25:00,17424.4,17531.9,17411.65,17508.35,17423.0,17423.7,17500.0
2022-10-20,09:40:00,17410.15,17509.0,17394.0,17500.0,17409.55,17410.2,17500.0
2022-10-20,09:45:00,17402.85,17517.25,17385.3,17517.0,17402.0,17402.85,17500.0
2022-10-20,09:50:00,17416.7,17537.8,17412.4,17535.1,17418.0,17419.0,17500.0
2022-10-20,09:55:00,17441.95,17545.55,17432.05,17539.95,17441.85,17442.8,17500.0
2022-10-20,10:00:00,17439.2,17541.3,17427.1,17536.35,17438.5,17439.6,17500.0
2022-10-20,10:05:00,17440.35,17540.0,17434.3,17536.25,17438.0,17440.5,17500.0
2022-10-20,10:10:00,17436.5,17536.9,17426.0,17536.9,17436.5,17437.75,17500.0
2022-10-20,10:15:00,17441.3,17550.0,17441.3,17548.35,17441.1,17441.75,17500.0
2022-10-20,10:20:00,17548.35,17554.95,17448.0,17546.75,17548.8,17550.1,17500.0
2022-10-20,10:25:00,17450.0,17548.9,17440.0,17548.9,17448.15,17449.95,17500.0
2022-10-20,10:35:00,17539.5,17549.55,17436.65,17546.4,17535.55,17539.35,17500.0
2022-10-20,10:40:00,17450.15,17582.45,17448.9,17577.6,17448.05,17450.05,17600.0
2022-10-20,10:50:00,17584.5,17597.5,17475.95,17575.45,17584.05,17587.1,17600.0
2022-10-20,10:55:00,17480.05,17578.95,17472.0,17571.25,17480.0,17480.05,17600.0
2022-10-20,11:00:00,17476.5,17577.05,17468.0,17566.0,17474.75,17476.0,17600.0
2022-10-20,11:05:00,17471.4,17573.4,17467.4,17565.0,17469.95,17472.0,17600.0
2022-10-20,11:20:00,17463.95,17568.5,17452.0,17568.5,17461.8,17462.7,17600.0
2022-10-20,11:30:00,17468.35,17563.7,17456.0,17559.3,17466.15,17468.5,17600.0
2022-10-20,11:35:00,17463.9,17567.65,17460.1,17564.35,17462.8,17464.45,17600.0
2022-10-20,11:40:00,17466.6,17575.5,17460.0,17572.15,17465.6,17467.55,17600.0
2022-10-20,11:45:00,17475.65,17573.9,17460.55,17560.55,17475.95,17477.5,17600.0
2022-10-20,12:00:00,17467.55,17560.0,17444.15,17544.95,17466.65,17468.0,17500.0
2022-10-20,12:05:00,17449.8,17546.85,17440.25,17543.7,17449.05,17450.7,17500.0
2022-10-20,12:10:00,17447.6,17549.8,17444.0,17546.9,17447.0,17447.6,17500.0
2022-10-20,12:15:00,17452.05,17560.05,17448.4,17560.0,17452.05,17453.1,17600.0
2022-10-20,12:20:00,17463.6,17575.0,17461.35,17574.0,17462.4,17464.4,17600.0
2022-10-20,12:25:00,17479.0,17583.0,17478.95,17580.0,17478.9,17479.7,17600.0
2022-10-20,12:35:00,17471.8,17575.0,17465.6,17565.75,17472.0,17472.95,17600.0
2022-10-20,12:40:00,17472.05,17575.0,17466.75,17574.95,17471.3,17472.0,17600.0
2022-10-20,12:45:00,17475.75,17580.75,17475.0,17580.75,17475.0,17475.95,17600.0
2022-10-20,13:05:00,17491.9,17588.7,17467.5,17568.35,17491.6,17491.9,17600.0
2022-10-20,13:10:00,17470.0,17574.0,17462.5,17569.75,17468.5,17470.0,17600.0
2022-10-20,13:15:00,17480.0,17575.0,17469.1,17572.3,17479.6,17480.0,17600.0
2022-10-20,13:20:00,17471.95,17580.0,17466.05,17578.1,17470.55,17471.95,17600.0
2022-10-20,13:25:00,17480.1,17580.0,17475.0,17579.5,17479.35,17480.15,17600.0
2022-10-20,13:30:00,17482.8,17579.5,17474.45,17577.95,17481.8,17482.8,17600.0
2022-10-20,13:45:00,17454.4,17567.6,17454.4,17566.6,17454.45,17456.8,17600.0
2022-10-20,14:00:00,17457.25,17563.5,17442.85,17561.35,17456.7,17457.7,17600.0
2022-10-20,14:05:00,17463.6,17574.85,17461.6,17572.8,17463.3,17464.35,17600.0
2022-10-20,14:10:00,17470.7,17582.0,17468.05,17580.6,17470.2,17472.45,17600.0
2022-10-20,14:15:00,17484.95,17589.2,17480.0,17587.75,17482.5,17484.5,17600.0
2022-10-20,14:20:00,17487.6,17591.0,17481.0,17584.15,17487.85,17489.8,17600.0
2022-10-20,14:25:00,17485.65,17585.15,17471.7,17580.0,17483.6,17485.65,17600.0
2022-10-20,14:30:00,17480.1,17604.25,17480.0,17601.35,17480.0,17482.0,17600.0
2022-10-20,14:35:00,17504.2,17625.0,17501.4,17625.0,17502.0,17504.1,17600.0
2022-10-20,14:40:00,17531.0,17633.1,17512.75,17614.8,17529.6,17531.0,17600.0
2022-10-20,14:45:00,17513.85,17619.6,17507.7,17609.15,17514.3,17515.25,17600.0
2022-10-20,14:55:00,17546.2,17614.15,17501.3,17610.1,17546.2,17546.25,17600.0
2022-10-20,15:00:00,17509.5,17625.0,17503.4,17623.65,17508.85,17509.85,17600.0
2022-10-20,15:20:00,17552.45,17649.6,17545.5,17646.9,17552.3,17552.45,17600.0
2022-10-20,15:25:00,17548.8,17649.95,17544.75,17645.0,17548.7,17550.0,17600.0
