DateTime,open,high,low,close,Volume,Date,Time
2022-10-27 09:31:00,5.0,5.0,4.75,4.75,857650,2022-10-27,09:31:00
2022-10-27 09:32:00,4.75,5.15,4.75,4.95,810100,2022-10-27,09:32:00
2022-10-27 09:33:00,4.95,5.05,4.65,4.7,701550,2022-10-27,09:33:00
2022-10-27 09:34:00,4.65,4.8,4.4,4.6,983050,2022-10-27,09:34:00
2022-10-27 09:35:00,4.55,4.6,4.25,4.3,682900,2022-10-27,09:35:00
2022-10-27 09:36:00,4.35,4.4,4.2,4.3,579100,2022-10-27,09:36:00
2022-10-27 09:37:00,4.3,4.4,4.15,4.35,506300,2022-10-27,09:37:00
2022-10-27 09:38:00,4.3,4.5,4.0,4.2,1297850,2022-10-27,09:38:00
2022-10-27 09:39:00,4.2,4.25,4.0,4.1,872100,2022-10-27,09:39:00
2022-10-27 09:40:00,4.1,4.25,3.95,4.1,627100,2022-10-27,09:40:00
2022-10-27 09:41:00,4.05,4.25,4.05,4.1,596000,2022-10-27,09:41:00
2022-10-27 09:42:00,4.15,4.15,3.65,3.75,842950,2022-10-27,09:42:00
2022-10-27 09:43:00,3.7,3.95,3.7,3.8,626650,2022-10-27,09:43:00
2022-10-27 09:44:00,3.8,4.0,3.75,4.0,556200,2022-10-27,09:44:00
2022-10-27 09:45:00,4.0,4.25,3.9,3.95,822050,2022-10-27,09:45:00
2022-10-27 09:46:00,3.9,3.9,3.2,3.35,1189400,2022-10-27,09:46:00
2022-10-27 09:47:00,3.4,3.85,3.4,3.8,703850,2022-10-27,09:47:00
2022-10-27 09:48:00,3.8,4.0,3.55,3.55,596150,2022-10-27,09:48:00
2022-10-27 09:49:00,3.5,3.65,3.1,3.35,1436400,2022-10-27,09:49:00
2022-10-27 09:50:00,3.35,3.75,3.25,3.4,2686500,2022-10-27,09:50:00
2022-10-27 09:51:00,3.35,3.55,3.3,3.3,1190700,2022-10-27,09:51:00
2022-10-27 09:52:00,3.3,3.45,3.25,3.3,1629550,2022-10-27,09:52:00
2022-10-27 09:53:00,3.35,3.45,3.1,3.15,1045950,2022-10-27,09:53:00
2022-10-27 09:54:00,3.15,3.2,3.0,3.1,1085700,2022-10-27,09:54:00
2022-10-27 09:55:00,3.15,3.15,2.8,2.85,1218900,2022-10-27,09:55:00
2022-10-27 09:56:00,2.9,3.0,2.75,2.8,872150,2022-10-27,09:56:00
2022-10-27 09:57:00,2.85,2.85,2.6,2.65,1289150,2022-10-27,09:57:00
2022-10-27 09:58:00,2.6,2.7,2.55,2.6,785900,2022-10-27,09:58:00
2022-10-27 09:59:00,2.55,2.7,2.55,2.6,939950,2022-10-27,09:59:00
2022-10-27 10:00:00,2.55,2.6,2.35,2.5,858050,2022-10-27,10:00:00
2022-10-27 10:01:00,2.5,2.6,2.45,2.6,661200,2022-10-27,10:01:00
2022-10-27 10:02:00,2.6,2.65,2.45,2.5,675750,2022-10-27,10:02:00
